t,wrist_pitch_servo,wrist_roll_servo,THUMB_servo,INDEX_servo,MIDDLE_servo,RING_servo,PINKY_servo
1771502458.847336,59.0,92.0,45.0,52.0,55.0,83.0,54.0
1771502458.8813372,59.0,92.0,60.0,44.0,52.0,80.0,53.0
1771502458.9113696,59.0,92.0,69.0,34.0,48.0,76.0,52.0
1771502458.9438448,59.0,92.0,82.0,27.0,45.0,73.0,50.0
1771502458.975847,59.0,92.0,89.0,22.0,42.0,69.0,47.0
1771502459.0088553,58.0,91.0,87.0,18.0,37.0,64.0,44.0
1771502459.0409544,58.0,91.0,87.0,17.0,35.0,60.0,42.0
1771502459.073038,58.0,91.0,89.0,17.0,35.0,59.0,41.0
1771502459.1050513,58.0,91.0,87.0,16.0,34.0,57.0,40.0
1771502459.1405528,58.0,91.0,88.0,15.0,33.0,52.0,37.0
1771502459.1732223,58.0,91.0,85.0,14.0,31.0,49.0,35.0
1771502459.2032228,57.0,91.0,80.0,13.0,30.0,46.0,33.0
1771502459.23476,57.0,91.0,77.0,12.0,29.0,44.0,32.0
1771502459.2798254,57.0,91.0,73.0,9.0,27.0,42.0,30.0
1771502459.313824,58.0,91.0,65.0,8.0,26.0,41.0,29.0
1771502459.3444016,58.0,91.0,59.0,7.0,25.0,40.0,29.0
1771502459.3758056,59.0,91.0,56.0,5.0,24.0,39.0,28.0
1771502459.4084177,59.0,91.0,55.0,4.0,21.0,38.0,27.0
1771502459.4419475,59.0,91.0,58.0,2.0,18.0,34.0,24.0
1771502459.471973,59.0,91.0,63.0,0.0,14.0,31.0,21.0
1771502459.5060127,59.0,91.0,68.0,0.0,11.0,29.0,19.0
1771502459.5360746,59.0,92.0,80.0,0.0,7.0,25.0,15.0
1771502459.5670657,59.0,92.0,98.0,0.0,4.0,21.0,13.0
1771502459.6000707,59.0,94.0,100.0,0.0,1.0,18.0,10.0
1771502459.6335962,59.0,94.0,100.0,0.0,0.0,15.0,9.0
1771502459.6656353,59.0,95.0,100.0,0.0,0.0,13.0,8.0
1771502459.7116454,59.0,96.0,100.0,0.0,0.0,9.0,7.0
1771502459.7471611,59.0,96.0,100.0,0.0,0.0,6.0,5.0
1771502459.779215,59.0,96.0,100.0,0.0,0.0,4.0,3.0
1771502459.8112159,59.0,96.0,100.0,0.0,0.0,2.0,2.0
1771502459.8417797,59.0,97.0,100.0,0.0,0.0,0.0,1.0
1771502459.8767781,59.0,97.0,100.0,0.0,0.0,0.0,1.0
1771502459.9041665,59.0,97.0,100.0,0.0,0.0,0.0,1.0
1771502459.9366202,60.0,98.0,100.0,0.0,0.0,0.0,2.0
1771502459.9676232,61.0,99.0,100.0,0.0,0.0,0.0,3.0
1771502460.0016394,63.0,99.0,100.0,0.0,0.0,0.0,3.0
1771502460.032383,64.0,99.0,100.0,0.0,0.0,0.0,4.0
1771502460.0657773,65.0,99.0,100.0,0.0,0.0,0.0,6.0
1771502460.0977783,66.0,99.0,100.0,0.0,0.0,1.0,7.0
1771502460.1773162,67.0,99.0,100.0,0.0,0.0,2.0,9.0
1771502460.203316,67.0,99.0,100.0,0.0,0.0,2.0,9.0
1771502460.2358668,67.0,100.0,100.0,0.0,0.0,2.0,9.0
1771502460.266868,67.0,100.0,100.0,0.0,0.0,1.0,9.0
1771502460.298875,67.0,100.0,100.0,0.0,0.0,0.0,8.0
1771502460.3288789,68.0,100.0,100.0,0.0,0.0,0.0,8.0
1771502460.3613997,69.0,99.0,100.0,0.0,0.0,0.0,7.0
1771502460.393399,70.0,99.0,100.0,0.0,0.0,1.0,7.0
1771502460.4254024,72.0,99.0,100.0,0.0,0.0,1.0,6.0
1771502460.4552305,74.0,99.0,73.0,0.0,0.0,2.0,5.0
1771502460.4871824,77.0,100.0,49.0,0.0,3.0,3.0,5.0
1771502460.5472124,78.0,101.0,34.0,2.0,4.0,3.0,4.0
1771502460.579758,80.0,102.0,19.0,4.0,6.0,3.0,3.0
1771502460.611347,81.0,103.0,13.0,4.0,6.0,2.0,2.0
1771502460.645459,82.0,104.0,10.0,4.0,7.0,2.0,2.0
1771502460.6774604,82.0,104.0,7.0,3.0,6.0,2.0,2.0
1771502460.707608,83.0,106.0,5.0,2.0,5.0,0.0,1.0
1771502460.7402244,83.0,107.0,4.0,1.0,4.0,0.0,0.0
1771502460.771203,83.0,109.0,3.0,0.0,3.0,0.0,0.0
1771502460.8022246,83.0,109.0,3.0,0.0,1.0,0.0,0.0
1771502460.8332245,83.0,110.0,2.0,0.0,0.0,0.0,0.0
1771502460.8637335,83.0,110.0,2.0,0.0,0.0,0.0,0.0
