t,wrist_pitch_servo,wrist_roll_servo,THUMB_servo,INDEX_servo,MIDDLE_servo,RING_servo,PINKY_servo
1771501730.3590016,77.0,107.0,100.0,93.0,86.0,110.0,94.0
1771501730.3815255,77.0,107.0,100.0,93.0,86.0,110.0,94.0
1771501730.4110222,78.0,107.0,99.0,93.0,86.0,110.0,94.0
1771501730.4420302,77.0,107.0,90.0,94.0,86.0,110.0,93.0
1771501730.4748137,78.0,107.0,100.0,93.0,85.0,110.0,94.0
1771501730.5057583,77.0,106.0,92.0,93.0,86.0,110.0,94.0
1771501730.5368278,77.0,106.0,92.0,94.0,86.0,110.0,93.0
1771501730.5678866,77.0,106.0,89.0,94.0,86.0,110.0,93.0
1771501730.6165159,79.0,107.0,100.0,93.0,85.0,110.0,95.0
1771501730.6455183,78.0,107.0,87.0,93.0,86.0,110.0,94.0
1771501730.6780324,77.0,107.0,100.0,94.0,86.0,110.0,95.0
1771501730.7120337,78.0,107.0,93.0,93.0,86.0,110.0,95.0
1771501730.7600393,77.0,107.0,94.0,94.0,86.0,110.0,95.0
1771501730.7885723,78.0,107.0,100.0,93.0,85.0,110.0,95.0
1771501730.817555,78.0,107.0,100.0,93.0,85.0,110.0,95.0
1771501730.8495946,78.0,107.0,93.0,94.0,86.0,110.0,95.0
1771501730.8792353,78.0,107.0,100.0,94.0,86.0,110.0,95.0
1771501730.9102426,77.0,107.0,100.0,94.0,86.0,110.0,95.0
1771501730.9412274,78.0,108.0,100.0,93.0,85.0,110.0,95.0
1771501730.9719193,77.0,107.0,96.0,94.0,86.0,110.0,94.0
1771501731.0165372,77.0,107.0,100.0,94.0,86.0,110.0,95.0
1771501731.050435,77.0,106.0,100.0,94.0,86.0,110.0,94.0
1771501731.0779965,77.0,107.0,100.0,94.0,86.0,110.0,94.0
1771501731.1119962,77.0,107.0,100.0,94.0,86.0,110.0,94.0
1771501731.1580486,77.0,108.0,100.0,94.0,86.0,110.0,94.0
1771501731.19164,77.0,107.0,100.0,94.0,86.0,110.0,94.0
1771501731.2186873,78.0,107.0,100.0,94.0,86.0,110.0,94.0
1771501731.2497234,77.0,107.0,100.0,94.0,86.0,110.0,94.0
1771501731.3459766,77.0,107.0,100.0,94.0,86.0,110.0,94.0
1771501731.3786662,77.0,107.0,100.0,94.0,86.0,110.0,94.0
1771501731.4076078,76.0,107.0,100.0,93.0,86.0,110.0,94.0
1771501731.4376068,77.0,106.0,100.0,94.0,86.0,110.0,95.0
1771501731.4697049,77.0,107.0,100.0,93.0,86.0,110.0,94.0
1771501731.501408,76.0,106.0,100.0,94.0,86.0,110.0,95.0
1771501731.5323608,76.0,107.0,100.0,94.0,86.0,110.0,95.0
1771501731.5634787,76.0,106.0,100.0,93.0,86.0,110.0,95.0
1771501731.5949833,76.0,106.0,100.0,93.0,86.0,110.0,94.0
1771501731.6279514,76.0,107.0,100.0,93.0,86.0,110.0,94.0
1771501731.659001,76.0,106.0,100.0,93.0,86.0,110.0,94.0
1771501731.6908407,75.0,106.0,100.0,93.0,86.0,110.0,94.0
1771501731.7223961,76.0,107.0,100.0,93.0,86.0,110.0,94.0
1771501731.755216,76.0,107.0,100.0,93.0,86.0,110.0,95.0
1771501731.7868407,76.0,107.0,100.0,94.0,86.0,110.0,94.0
1771501731.8178408,76.0,107.0,100.0,94.0,86.0,110.0,95.0
1771501731.8588405,77.0,106.0,100.0,94.0,86.0,110.0,94.0
1771501731.8814468,76.0,107.0,100.0,93.0,86.0,110.0,94.0
1771501731.9124458,76.0,106.0,100.0,93.0,86.0,110.0,95.0
1771501731.9444568,76.0,107.0,100.0,93.0,86.0,110.0,95.0
1771501731.976099,76.0,106.0,100.0,93.0,85.0,110.0,94.0
1771501732.009099,75.0,106.0,100.0,93.0,86.0,110.0,94.0
1771501732.0421414,75.0,106.0,100.0,92.0,86.0,110.0,94.0
1771501732.0711029,75.0,105.0,100.0,93.0,86.0,110.0,93.0
